IdEstudiante,Nombre,Apellido1,Apellido2,FechaNacimiento,Edad,Programa,SiglasPrograma,Email,FechaMatriculacion
40,Eulalia,Cuesta,Roca,1999-09-08,26,Digital MBA,DMBA,ecuesta@dmba.isdi.education,2025-05-06
41,Débora,Bartolomé,Plaza,1997-10-24,28,Digital MBA,DMBA,dbartolome@dmba.isdi.education,2025-08-25
42,Rico,Solé,Ángel,1999-07-14,26,Digital MBA,DMBA,rsole@dmba.isdi.education,2025-05-19
43,José,Alberdi,Carbó,2000-08-12,25,Digital MBA,DMBA,jalberdi@dmba.isdi.education,2025-04-23
44,Isabel,Lasa,Nieto,2001-02-20,24,Digital MBA,DMBA,ilasa@dmba.isdi.education,2025-06-16
45,Dani,Marin,Royo,2003-03-15,22,Digital MBA,DMBA,dmarin@dmba.isdi.education,2025-04-28
46,Fausto,Santiago,Acero,1997-12-29,27,Master in Data Analytics,MDA,fsantiago@mda.isdi.education,2025-06-11
47,Lorenza,Lago,Valle,1997-08-09,28,Master in Data Analytics,MDA,llago@mda.isdi.education,2025-05-18
48,María Belén,Escalona,Vera,1991-10-29,34,Master in Data Analytics,MDA,mescalona@mda.isdi.education,2025-04-19
49,Ximena,Camino,Martín,1995-01-10,30,Master in Data Analytics,MDA,xcamino@mda.isdi.education,2025-06-11
50,Prudencia,Vera,Flor,2001-09-21,24,Master in Data Analytics,MDA,pvera@mda.isdi.education,2025-09-13
51,Ezequiel,Pereira,Cuéllar,1994-11-07,31,Master in Data Analytics,MDA,epereira@mda.isdi.education,2025-08-23
52,Calista,Abascal,Morante,1996-12-23,28,Master in Data Analytics,MDA,cabascal@mda.isdi.education,2025-05-16
53,Amaya,Aliaga,Caparrós,1997-12-29,27,Master in Data Analytics,MDA,aaliaga@mda.isdi.education,2025-05-07
54,Úrsula,Parejo,Meléndez,1994-01-29,31,Master in Data Analytics,MDA,uparejo@mda.isdi.education,2025-05-15
55,Jose,Barco,Hernando,1992-08-23,33,Master in Data Analytics,MDA,jbarco@mda.isdi.education,2025-08-08
56,Selena,Bermúdez,Boada,1992-12-28,32,Master in Data Analytics,MDA,sbermudez@mda.isdi.education,2025-07-24
57,Lupita,Torre,Bayón,1998-11-16,27,Master in Data Analytics,MDA,ltorre@mda.isdi.education,2025-04-23
58,Martirio,Casas,Castellanos,1996-09-15,29,Master in Data Analytics,MDA,mcasas@mda.isdi.education,2025-09-18
59,Georgina,Talavera,Dalmau,1994-12-18,30,Master in Data Analytics,MDA,gtalavera@mda.isdi.education,2025-02-16
60,Juan Manuel,Álamo,Rocha,1992-02-01,33,Master in Data Analytics,MDA,jalamo@mda.isdi.education,2025-02-26
61,Héctor,Font,Mesa,1997-04-28,28,Master in Data Analytics,MDA,hfont@mda.isdi.education,2025-03-23
62,Sabas,Perea,Ríos,1997-01-13,28,Master in Data Analytics,MDA,sperea@mda.isdi.education,2025-08-05
63,Trinidad,Villar,Sanmiguel,2000-02-20,25,Master in Data Analytics,MDA,tvillar@mda.isdi.education,2025-02-02
64,Dionisio,Huguet,Gomila,2000-02-27,25,Master in Data Analytics,MDA,dhuguet@mda.isdi.education,2025-07-15
65,Bernardo,Neira,Almazán,1993-06-04,32,Master in Data Analytics,MDA,bneira@mda.isdi.education,2025-08-28
66,Dionisia,Grau,Giménez,1991-06-06,34,Master in Data Analytics,MDA,dgrau@mda.isdi.education,2025-05-09
67,Adrián,Belda,Barral,1996-06-16,29,Master in Data Analytics,MDA,abelda@mda.isdi.education,2025-01-06
68,Jenaro,Bauzà,Angulo,1992-11-15,33,Master in Data Analytics,MDA,jbauzà@mda.isdi.education,2025-02-28
69,Rosalina,Murillo,Belda,1995-02-15,30,Master in Data Analytics,MDA,rmurillo@mda.isdi.education,2025-05-17
70,Aroa,Gárate,Lopez,1998-08-03,27,Master in Data Analytics,MDA,agarate@mda.isdi.education,2025-06-24
71,Haydée,Torralba,Gargallo,1994-04-29,31,Master in Data Analytics,MDA,htorralba@mda.isdi.education,2025-05-31
72,Calista,Catalán,Suárez,1990-08-30,35,Master in Data Analytics,MDA,ccatalan@mda.isdi.education,2025-03-22
73,Jose Carlos,Suárez,Ramírez,1996-03-11,29,Master in Data Analytics,MDA,jsuarez@mda.isdi.education,2025-01-02
74,Goyo,Busquets,Caballero,1990-04-30,35,Master in Data Analytics,MDA,gbusquets@mda.isdi.education,2025-09-14
75,Genoveva,Rosa,Pablo,2001-09-04,24,Master in Data Analytics,MDA,grosa@mda.isdi.education,2025-09-17
76,Teo,Reig,Solera,1992-09-15,33,Master in Data Analytics,MDA,treig@mda.isdi.education,2025-06-02
77,Rosario,Balaguer,Cabello,1996-01-09,29,Master in Data Analytics,MDA,rbalaguer@mda.isdi.education,2025-09-17
78,Benjamín,Quevedo,Nicolau,1997-04-30,28,Master in Data Analytics,MDA,bquevedo@mda.isdi.education,2025-04-12
79,Nereida,Canales,Ibarra,1995-04-29,30,Master in Data Analytics,MDA,ncanales@mda.isdi.education,2025-07-11
80,Gregorio,Falcón,Sanabria,2001-08-26,24,Master in Data Analytics,MDA,gfalcon@mda.isdi.education,2025-09-29
81,Enrique,Roca,Español,1996-03-14,29,Master in Data Analytics,MDA,eroca@mda.isdi.education,2025-06-15
82,León,Sevillano,Iborra,1994-11-13,31,Master in Data Analytics,MDA,lsevillano@mda.isdi.education,2025-01-10
83,Sandra,Benet,Salazar,1990-06-02,35,Master in Data Analytics,MDA,sbenet@mda.isdi.education,2025-07-05
84,Nuria,Cabañas,Ayuso,1997-09-04,28,Master in Data Analytics,MDA,ncabanas@mda.isdi.education,2025-05-03
85,Florinda,Alcolea,Bueno,1998-05-04,27,Master in Data Analytics,MDA,falcolea@mda.isdi.education,2025-05-04
86,Ángeles,Guzmán,Delgado,1997-12-24,27,Master in Data Analytics,MDA,aguzman@mda.isdi.education,2025-02-10
87,Santos,Torralba,Teruel,1992-05-07,33,Master in Data Analytics,MDA,storralba@mda.isdi.education,2025-09-06
88,Ignacio,Quero,Barral,1994-05-19,31,Master in Data Analytics,MDA,iquero@mda.isdi.education,2025-09-30
89,Fidel,Pinilla,Abril,1997-06-17,28,Master in Data Analytics,MDA,fpinilla@mda.isdi.education,2025-03-07
90,Rosario,Lara,Sanz,1994-07-24,31,Master in Data Analytics,MDA,rlara@mda.isdi.education,2025-09-01
91,Lucho,Rocha,Torrecilla,1992-10-25,33,Master in Digital Marketing,MDM,lrocha@mdm.isdi.education,2025-03-26
92,Fabián,Falcó,Martin,1988-12-06,36,Master in Digital Marketing,MDM,ffalco@mdm.isdi.education,2025-09-28
93,Isaac,Barragán,Barrera,1996-02-02,29,Master in Digital Marketing,MDM,ibarragan@mdm.isdi.education,2025-08-05
94,Mariana,Mir,Barceló,1994-01-15,31,Master in Digital Marketing,MDM,mmir@mdm.isdi.education,2025-04-13
95,Aureliano,Tapia,Valverde,1994-06-09,31,Master in Digital Marketing,MDM,atapia@mdm.isdi.education,2025-07-24
96,Zaira,Criado,Barberá,1999-03-23,26,Master in Digital Marketing,MDM,zcriado@mdm.isdi.education,2025-07-11
97,Apolonia,Bernat,Estevez,1991-11-12,34,Master in Digital Marketing,MDM,abernat@mdm.isdi.education,2025-09-22
98,Bruno,Bayo,Gutierrez,1992-01-09,33,Master in Digital Marketing,MDM,bbayo@mdm.isdi.education,2025-03-03
99,Sancho,Carretero,Hoz,1992-10-04,33,Master in Digital Marketing,MDM,scarretero@mdm.isdi.education,2025-04-26
100,Cristina,Ariño,Bilbao,1993-06-17,32,Master in Digital Marketing,MDM,carino@mdm.isdi.education,2025-06-23
101,Simón,Yáñez,Molina,1998-02-13,27,Master in Digital Marketing,MDM,syanez@mdm.isdi.education,2025-04-28
102,Juan Carlos,Fuente,Miralles,1994-12-10,30,Master in Digital Marketing,MDM,jfuente@mdm.isdi.education,2025-04-23
103,Jorge,Lara,Priego,1993-10-24,32,Master in Digital Marketing,MDM,jlara@mdm.isdi.education,2025-02-06
104,Eleuterio,Marín,Sebastián,1996-07-11,29,Master in Digital Marketing,MDM,emarin@mdm.isdi.education,2025-01-31
105,Maximiano,Belmonte,Agustí,1993-05-26,32,Master in Digital Marketing,MDM,mbelmonte@mdm.isdi.education,2025-02-04
106,Álvaro,Cabo,Beltrán,1990-11-12,35,Master in Digital Marketing,MDM,acabo@mdm.isdi.education,2025-06-19
107,Brígida,Garcés,Velasco,1984-12-29,40,Master in Digital Marketing,MDM,bgarces@mdm.isdi.education,2025-09-21
108,Juan Manuel,Cazorla,Oller,1992-01-26,33,Master in Digital Marketing,MDM,jcazorla@mdm.isdi.education,2025-05-23
109,Socorro,Bayona,Hidalgo,1992-05-04,33,Master in Digital Marketing,MDM,sbayona@mdm.isdi.education,2025-09-06
110,Rafael,López,Cruz,1993-01-11,32,Master in Digital Marketing,MDM,rlopez@mdm.isdi.education,2025-03-09
111,Urbano,Mate,Ángel,2000-03-24,25,Master in Digital Marketing,MDM,umate@mdm.isdi.education,2025-08-31
112,Adán,Marí,Calleja,1992-11-17,33,Master in Digital Marketing,MDM,amari@mdm.isdi.education,2025-08-31
113,Selena,Cañizares,Lamas,1992-10-06,33,Master in Digital Marketing,MDM,scanizares@mdm.isdi.education,2025-04-08
114,David,Campo,Cortés,1983-07-28,42,Master in Digital Marketing,MDM,dcampo@mdm.isdi.education,2025-02-19
115,Lalo,Luján,Galvez,1994-02-15,31,Master in Digital Marketing,MDM,llujan@mdm.isdi.education,2025-08-09
116,Liliana,Novoa,Frutos,1991-09-22,34,Master in Digital Marketing,MDM,lnovoa@mdm.isdi.education,2025-08-05
117,Jacinta,Laguna,Vega,1993-02-23,32,Master in Digital Marketing,MDM,jlaguna@mdm.isdi.education,2025-08-28
118,Amaya,Iglesias,Azcona,1997-03-07,28,Master in Digital Marketing,MDM,aiglesias@mdm.isdi.education,2025-02-20
119,Cirino,Roda,Lloret,1987-12-14,37,Master in Digital Marketing,MDM,croda@mdm.isdi.education,2025-07-26
120,Arsenio,Acevedo,Múgica,1989-11-26,36,Master in Digital Marketing,MDM,aacevedo@mdm.isdi.education,2025-02-25
121,María Manuela,Castrillo,Juárez,1989-08-15,36,Master in Digital Marketing,MDM,mcastrillo@mdm.isdi.education,2025-04-09
122,Felix,Sala,Roma,1996-05-02,29,Master in Digital Marketing,MDM,fsala@mdm.isdi.education,2025-08-18
123,Chelo,Agustí,Caparrós,1987-01-08,38,Master in Digital Marketing,MDM,cagusti@mdm.isdi.education,2025-08-05
124,Carlos,Company,Araujo,1998-04-17,27,Master in Digital Marketing,MDM,ccompany@mdm.isdi.education,2025-05-23
125,Perlita,Peiró,Colomer,1990-09-26,35,Master in Digital Marketing,MDM,ppeiro@mdm.isdi.education,2025-05-08
126,Tito,Castell,Arnaiz,1983-10-13,42,Master in Digital Marketing,MDM,tcastell@mdm.isdi.education,2025-08-15
127,Mario,Pastor,Ariño,1997-03-01,28,Master in Digital Marketing,MDM,mpastor@mdm.isdi.education,2025-02-20
128,Trini,Pallarès,Gallo,1994-10-07,31,Master in Digital Marketing,MDM,tpallarès@mdm.isdi.education,2025-01-08
129,Isabel,Iborra,Calderon,1992-03-01,33,Master in Digital Marketing,MDM,iiborra@mdm.isdi.education,2025-05-02
130,Paulino,Ramos,Cortes,1994-09-06,31,Master in Digital Marketing,MDM,pramos@mdm.isdi.education,2025-07-28
131,Ángela,Guzmán,Cámara,1999-04-24,26,Master in Digital Marketing,MDM,aguzman@mdm.isdi.education,2025-09-04
132,Nereida,Elorza,Revilla,1992-06-16,33,Master in Digital Marketing,MDM,nelorza@mdm.isdi.education,2025-07-25
133,Amador,Escobar,Márquez,1996-10-05,29,Master in Digital Marketing,MDM,aescobar@mdm.isdi.education,2025-03-26
134,Micaela,Requena,Hurtado,1991-01-27,34,Master in Digital Marketing,MDM,mrequena@mdm.isdi.education,2025-01-02
135,Juanito,Cuervo,Campoy,1996-08-27,29,Master in Digital Marketing,MDM,jcuervo@mdm.isdi.education,2025-05-16
136,Roberto,Arias,Sosa,1981-04-30,44,Master in International Business,MIB,rarias@mib.isdi.education,2025-05-27
137,Iván,Flores,Seguí,1992-12-10,32,Master in International Business,MIB,iflores@mib.isdi.education,2025-09-07
138,Pancho,Mayoral,Goñi,1990-04-06,35,Master in International Business,MIB,pmayoral@mib.isdi.education,2025-04-08
139,Jacinto,Alvarez,Ferrando,1984-10-14,41,Master in International Business,MIB,jalvarez@mib.isdi.education,2025-04-22
140,Sabas,Moya,Lopez,1994-09-01,31,Master in International Business,MIB,smoya@mib.isdi.education,2025-02-01
141,Rosaura,Baños,Lorenzo,1987-09-27,38,Master in International Business,MIB,rbanos@mib.isdi.education,2025-01-30
142,Pascual,Vergara,Pulido,1981-12-22,43,Master in International Business,MIB,pvergara@mib.isdi.education,2025-09-02
143,Iris,Muñoz,Amorós,1997-03-04,28,Master in International Business,MIB,imunoz@mib.isdi.education,2025-09-29
144,David,Julián,Escalona,1987-09-26,38,Master in International Business,MIB,djulian@mib.isdi.education,2025-01-30
145,Custodia,Lara,Arenas,1987-11-07,38,Master in International Business,MIB,clara@mib.isdi.education,2025-02-11
146,César,Rovira,Ojeda,1984-10-16,41,Master in International Business,MIB,crovira@mib.isdi.education,2025-02-05
147,Luisina,Mir,Rubio,1995-06-14,30,Master in International Business,MIB,lmir@mib.isdi.education,2025-02-04
148,Eloísa,Vidal,Carlos,1995-12-24,29,Master in International Business,MIB,evidal@mib.isdi.education,2025-05-01
149,Rogelio,Falcón,Iñiguez,1986-05-24,39,Master in International Business,MIB,rfalcon@mib.isdi.education,2025-03-03
150,Arsenio,Rubio,Abellán,1987-10-02,38,Master in International Business,MIB,arubio@mib.isdi.education,2025-05-07
151,Aurora,Figueras,Pascual,1987-12-30,37,Master in International Business,MIB,afigueras@mib.isdi.education,2025-01-21
152,Tomás,Becerra,Murillo,1987-07-29,38,Master in International Business,MIB,tbecerra@mib.isdi.education,2025-02-11
153,Estrella,Mir,Casanovas,1992-06-03,33,Master in International Business,MIB,emir@mib.isdi.education,2025-09-25
154,Lola,Mas,Vendrell,1987-09-20,38,Master in International Business,MIB,lmas@mib.isdi.education,2025-05-14
155,Martin,Real,Morera,1987-04-05,38,Master in International Business,MIB,mreal@mib.isdi.education,2025-06-10
156,Samuel,Marqués,Castejón,1992-05-04,33,Master in International Business,MIB,smarques@mib.isdi.education,2025-05-16
157,Gregorio,Rivero,Pinilla,1979-09-01,46,Master in International Business,MIB,grivero@mib.isdi.education,2025-03-09
158,Inés,Dávila,Mascaró,1987-01-04,38,Master in International Business,MIB,idavila@mib.isdi.education,2025-06-03
159,Santiago,Abad,Mateu,1995-01-12,30,Master in International Business,MIB,sabad@mib.isdi.education,2025-06-11
160,Luciano,Gallo,Ropero,1985-04-04,40,Master in International Business,MIB,lgallo@mib.isdi.education,2025-01-05
161,Mireia,Montserrat,Sola,1993-12-12,31,Master in International Business,MIB,mmontserrat@mib.isdi.education,2025-02-21
162,Vasco,Salamanca,García,1984-08-09,41,Master in International Business,MIB,vsalamanca@mib.isdi.education,2025-04-20
163,Ariadna,Sáenz,Doménech,1983-05-11,42,Master in International Business,MIB,asaenz@mib.isdi.education,2025-05-16
164,Genoveva,Blazquez,Luz,1992-09-20,33,Master in International Business,MIB,gblazquez@mib.isdi.education,2025-06-28
165,Aránzazu,Naranjo,Bueno,1983-09-20,42,Master in International Business,MIB,anaranjo@mib.isdi.education,2025-05-06
166,Olivia,Gutierrez,Menéndez,1986-11-22,39,Master in International Business,MIB,ogutierrez@mib.isdi.education,2025-05-26
167,Jafet,Flor,Colom,1984-07-19,41,Master in International Business,MIB,jflor@mib.isdi.education,2025-08-13
168,Amador,Arteaga,Hierro,1979-09-21,46,Master in International Business,MIB,aarteaga@mib.isdi.education,2025-06-04
169,Aitana,Beltran,Sarabia,1990-07-09,35,Master in International Business,MIB,abeltran@mib.isdi.education,2025-09-28
170,Severino,Ferreras,Plana,1992-03-19,33,Master in International Business,MIB,sferreras@mib.isdi.education,2025-06-03
171,Ana Belén,Pulido,Hervás,1993-10-23,32,Master in International Business,MIB,apulido@mib.isdi.education,2025-02-23
172,Eusebio,Adán,Campillo,1992-09-12,33,Master in International Business,MIB,eadan@mib.isdi.education,2025-05-16
173,Melania,Rodríguez,Gilabert,1988-12-25,36,Master in International Business,MIB,mrodriguez@mib.isdi.education,2025-02-24
174,Gabriel,Villaverde,Sobrino,1987-07-05,38,Master in International Business,MIB,gvillaverde@mib.isdi.education,2025-03-21
175,Aureliano,Ibañez,Carrión,1987-06-09,38,Master in International Business,MIB,aibanez@mib.isdi.education,2025-05-25
176,Yago,Cañellas,Sobrino,1985-02-24,40,Master in International Business,MIB,ycanellas@mib.isdi.education,2025-04-18
177,Guadalupe,Molins,Salas,1988-11-07,37,Master in International Business,MIB,gmolins@mib.isdi.education,2025-04-15
178,Emperatriz,Vargas,Roldan,1982-02-19,43,Master in International Business,MIB,evargas@mib.isdi.education,2025-05-16
179,Paulina,Salmerón,Cuenca,1990-06-19,35,Master in International Business,MIB,psalmeron@mib.isdi.education,2025-09-08
180,Mar,Taboada,Sandoval,1977-10-17,48,Master in International Business,MIB,mtaboada@mib.isdi.education,2025-01-27
181,Juan Antonio,Huertas,Lluch,1977-02-17,48,Digital Business Executive Program,DIBEX,jhuertas@dibex.isdi.education,2025-08-05
182,María Dolores,Vázquez,Tormo,1985-07-16,40,Digital Business Executive Program,DIBEX,mvazquez@dibex.isdi.education,2025-01-23
183,Eugenia,Haro,Llobet,1986-05-01,39,Digital Business Executive Program,DIBEX,eharo@dibex.isdi.education,2025-06-20
184,Valerio,Berenguer,Macias,1977-12-21,47,Digital Business Executive Program,DIBEX,vberenguer@dibex.isdi.education,2025-05-15
185,Joel,Llabrés,Narváez,1981-11-23,44,Digital Business Executive Program,DIBEX,jllabres@dibex.isdi.education,2025-08-15
186,Miguel,Berrocal,Chacón,1977-04-16,48,Digital Business Executive Program,DIBEX,mberrocal@dibex.isdi.education,2025-08-07
187,Eutropio,Guardia,Piñol,1978-08-17,47,Digital Business Executive Program,DIBEX,eguardia@dibex.isdi.education,2025-01-05
188,Joaquina,Corominas,Gargallo,1980-12-31,44,Digital Business Executive Program,DIBEX,jcorominas@dibex.isdi.education,2025-02-08
189,Bernardo,Ribera,Ramón,1986-01-23,39,Digital Business Executive Program,DIBEX,bribera@dibex.isdi.education,2025-03-18
190,Natalio,Solano,Ricart,1989-07-14,36,Digital Business Executive Program,DIBEX,nsolano@dibex.isdi.education,2025-01-19
191,Bernabé,Gabaldón,Rivera,1983-06-01,42,Digital Business Executive Program,DIBEX,bgabaldon@dibex.isdi.education,2025-03-17
192,Roque,Aller,Pintor,1976-05-03,49,Digital Business Executive Program,DIBEX,raller@dibex.isdi.education,2025-03-07
193,Albina,Aguado,Ortiz,1979-04-29,46,Digital Business Executive Program,DIBEX,aaguado@dibex.isdi.education,2025-06-07
194,Marc,Porta,Rius,1987-10-19,38,Digital Business Executive Program,DIBEX,mporta@dibex.isdi.education,2025-01-21
195,Bárbara,Giménez,Torrents,1979-12-29,45,Digital Business Executive Program,DIBEX,bgimenez@dibex.isdi.education,2025-04-18
196,Isidoro,Llamas,Ruano,1979-04-13,46,Digital Business Executive Program,DIBEX,illamas@dibex.isdi.education,2025-05-08
197,Amalia,Andres,Porcel,1986-03-27,39,Digital Business Executive Program,DIBEX,aandres@dibex.isdi.education,2025-02-22
198,Nicodemo,Quiroga,Dalmau,1980-02-04,45,Digital Business Executive Program,DIBEX,nquiroga@dibex.isdi.education,2025-07-28
199,Priscila,Solsona,Castell,1980-12-28,44,Digital Business Executive Program,DIBEX,psolsona@dibex.isdi.education,2025-03-21
200,Esther,Amores,Prada,1987-01-21,38,Digital Business Executive Program,DIBEX,eamores@dibex.isdi.education,2025-03-25
201,Dora,Amores,Blanes,1978-09-21,47,Digital Business Executive Program,DIBEX,damores@dibex.isdi.education,2025-07-31
202,Fernanda,Romero,Cerdá,1977-05-24,48,Digital Business Executive Program,DIBEX,fromero@dibex.isdi.education,2025-04-02
203,Roxana,Serrano,Espada,1974-12-15,50,Digital Business Executive Program,DIBEX,rserrano@dibex.isdi.education,2025-07-30
204,Aureliano,Juan,Pinilla,1975-08-03,50,Digital Business Executive Program,DIBEX,ajuan@dibex.isdi.education,2025-05-08
205,Nacio,Galán,Sanz,1988-05-21,37,Digital Business Executive Program,DIBEX,ngalan@dibex.isdi.education,2025-03-23
206,Nacho,Nebot,Pinilla,1986-07-31,39,Digital Business Executive Program,DIBEX,nnebot@dibex.isdi.education,2025-02-25
207,Leopoldo,Robles,Iniesta,1978-02-23,47,Digital Business Executive Program,DIBEX,lrobles@dibex.isdi.education,2025-01-20
208,Perlita,Bilbao,Sosa,1978-04-11,47,Digital Business Executive Program,DIBEX,pbilbao@dibex.isdi.education,2025-04-24
209,Alejo,Azorin,Olmo,1977-11-22,48,Digital Business Executive Program,DIBEX,aazorin@dibex.isdi.education,2025-08-24
210,Jacobo,Bayona,Arjona,1968-12-09,57,Digital Business Executive Program,DIBEX,jbayona@dibex.isdi.education,2025-06-06
211,Marisela,Anguita,Huertas,1977-08-15,48,Digital Business Executive Program,DIBEX,manguita@dibex.isdi.education,2025-04-25
212,Heraclio,Almagro,Corominas,1974-03-27,51,Digital Business Executive Program,DIBEX,halmagro@dibex.isdi.education,2025-04-09
213,Jorge,Cases,Sáenz,1975-10-04,50,Digital Business Executive Program,DIBEX,jcases@dibex.isdi.education,2025-06-18
214,Haydée,Carbó,Gibert,1977-04-02,48,Digital Business Executive Program,DIBEX,hcarbo@dibex.isdi.education,2025-02-05
215,Adela,Jaén,Peinado,1982-07-25,43,Digital Business Executive Program,DIBEX,ajaen@dibex.isdi.education,2025-06-29
216,Florencio,Carbó,Céspedes,1977-03-03,48,Digital Business Executive Program,DIBEX,fcarbo@dibex.isdi.education,2025-09-18
217,María,Campoy,Amigó,1985-04-01,40,Digital Business Executive Program,DIBEX,mcampoy@dibex.isdi.education,2025-06-19
218,Úrsula,Mesa,Perez,1981-10-13,44,Digital Business Executive Program,DIBEX,umesa@dibex.isdi.education,2025-03-01
219,Régulo,Fiol,Benitez,1983-06-23,42,Digital Business Executive Program,DIBEX,rfiol@dibex.isdi.education,2025-04-02
220,Dora,Herrero,Cal,1980-10-21,45,Digital Business Executive Program,DIBEX,dherrero@dibex.isdi.education,2025-05-16
221,Josefina,Mata,Carrillo,1968-07-02,57,Digital Business Executive Program,DIBEX,jmata@dibex.isdi.education,2025-02-25
222,Natividad,Armengol,Olivera,1991-04-09,34,Digital Business Executive Program,DIBEX,narmengol@dibex.isdi.education,2025-08-11
223,Berta,Romero,Pellicer,1977-02-25,48,Digital Business Executive Program,DIBEX,bromero@dibex.isdi.education,2025-06-10
224,Bruno,Velasco,Nogueira,1989-12-01,36,Digital Business Executive Program,DIBEX,bvelasco@dibex.isdi.education,2025-09-19
225,Albano,Rivera,Trillo,1983-03-14,42,Digital Business Executive Program,DIBEX,arivera@dibex.isdi.education,2025-07-17
